method,time,watercut,recovery,mass,budget_mass,raw_mass,boundary_water_net_outflow,water_inflow_rate,water_outflow_rate,pore_volumes_injected,mass_balance_absolute_residual,mass_balance_relative_residual,cumulative_budget_residual,min_s,max_s,raw_min_s_before_limiter,raw_max_s_before_limiter,raw_below_lower_bound_before_limiter,raw_above_upper_bound_before_limiter,picard_iterations,picard_converged,limiter_mass_residual
NormalLinear-DDPNM-3,1.5000000000000002,1.3969159070173143e-16,0.016535550217217147,0.20174120955351665,0.20174120955351663,0.20174120955351665,-0.008343857317183755,0.00834385731718375,1.163701210109692e-18,0.013228440173773654,2.5587171270657905e-17,3.066587825988063e-14,2.7755575615628914e-17,0.2,0.7991317951456289,0.1932117891790173,0.8721746549493196,939,30,6,False,0.0
NormalLinear-DDPNM-3,1.6000000000000003,1.6582926051574277e-16,0.017637920231698318,0.20257559528523505,0.202575595285235,0.20257559528523505,-0.008343857317183755,0.00834385731718375,1.3775223999862588e-18,0.014110336185358565,2.5587171270657905e-17,3.066587825988063e-14,5.551115123125783e-17,0.2,0.7999834200500647,0.19356926735740343,0.871141419468523,863,32,6,False,0.0
NormalLinear-DDPNM-3,1.7000000000000004,2.3340290784403676e-09,0.01874029024617949,0.20340998101695346,0.20340998101695337,0.20340998101695346,-0.008343857317183755,0.00834385731718375,1.610181334179379e-18,0.014992232196943475,2.5587171270657905e-17,3.066587825988063e-14,8.326672684688674e-17,0.20001296219959608,0.8,0.1937006872645705,0.8692270793025577,775,36,6,False,0.0
NormalLinear-DDPNM-3,1.8000000000000005,3.690796707260425e-08,0.019842660258099155,0.20424436674673305,0.204244366746733,0.20424436674673307,-0.008343857297796282,0.00834385731718375,1.938747398405581e-11,0.015874128208528387,-3.729655473350135e-17,4.469941566477907e-14,5.551115123125783e-17,0.20003858297005775,0.8,0.19303532906747065,0.8664135566901474,208,39,6,False,0.0
NormalLinear-DDPNM-3,1.9000000000000006,1.5344657986996974e-07,0.020945030232076747,0.20507875244779422,0.20507875244779414,0.2050787524477942,-0.00834385701061143,0.00834385731718375,3.0657232669668607e-10,0.016756024220113297,3.133344278483108e-17,3.755270547237118e-14,8.326672684688674e-17,0.20005355114071988,0.8,0.19240426532558402,0.8635432982355423,175,47,6,False,2.7755575615628914e-17
NormalLinear-DDPNM-3,2.0000000000000004,3.960617046129757e-07,0.022047400078162884,0.20591313805205413,0.205913138052054,0.20591313805205408,-0.008343856042598496,0.00834385731718375,1.2745852607128626e-09,0.017637920231698207,6.331740687315346e-17,7.588504308499949e-14,1.3877787807814457e-16,0.2000637402235706,0.8,0.19178932833821516,0.8606917610374277,158,49,6,False,-2.7755575615628914e-17
NormalLinear-DDPNM-3,2.1000000000000005,7.440904877768464e-07,0.023149769657999718,0.2067475234547895,0.20674752345478944,0.20674752345478953,-0.008343854027354467,0.00834385731718375,3.2898292895088246e-09,0.018519816243283117,-8.088148206741863e-17,9.693532272032146e-14,5.551115123125783e-17,0.20006257005543931,0.8,0.19119969625980965,0.8579264461742603,154,53,6,False,2.7755575615628914e-17
NormalLinear-DDPNM-3,2.2000000000000006,1.1833773791113643e-06,0.024252138855906682,0.2075819085684415,0.2075819085684414,0.2075819085684415,-0.008343851136519486,0.00834385731718375,6.180664270516823e-09,0.019401712254868028,4.889751797909625e-17,5.860296970546976e-14,1.1102230246251565e-16,0.2000604059068067,0.8,0.19063115613025222,0.8552994288628095,157,55,6,False,2.7755575615628914e-17
NormalLinear-DDPNM-3,2.3000000000000007,1.7606626950370634e-06,0.02535450757173785,0.2084162933172095,0.20841629331720937,0.2084162933172095,-0.008343847487679726,0.00834385731718375,9.829504030738756e-09,0.020283608266452938,4.0766001685454967e-17,4.8857443399776114e-14,1.3877787807814457e-16,0.2000641125269098,0.8,0.19009494147441836,0.8528371024015045,152,57,6,False,2.7755575615628914e-17
NormalLinear-DDPNM-3,2.400000000000001,2.5426186289321033e-06,0.026456875654055273,0.2092506775864699,0.20925067758646979,0.20925067758646992,-0.00834384269260419,0.00834385731718375,1.462457956720355e-08,0.021165504278037848,-3.371868756429919e-17,4.0411319588365347e-14,1.1102230246251565e-16,0.20007177215482624,0.8,0.18959777792045632,0.8505276009612693,158,59,6,False,5.551115123125783e-17
NormalLinear-DDPNM-3,2.500000000000001,3.4779887431748093e-06,0.027559242878256705,0.21008506120622084,0.21008506120622075,0.21008506120622084,-0.008343836197509684,0.00834385731718375,2.111967407129461e-08,0.022047400289622758,-2.938187887435717e-17,3.5213694802368116e-14,8.326672684688674e-17,0.2000724934580106,0.8,0.18913714312319108,0.848381042723649,163,61,6,False,-5.551115123125783e-17
NormalLinear-DDPNM-3,2.600000000000001,4.556680731309263e-06,0.028661609075990312,0.21091944404903654,0.21091944404903645,0.2109194440490366,-0.008343828428157141,0.00834385731718375,2.888902661555473e-08,0.022929296301207668,-1.3444106938820255e-17,1.611252431608402e-14,8.326672684688674e-17,0.20007230497359024,0.8,0.18870143295676234,0.8463957759971372,160,63,6,False,2.7755575615628914e-17
NormalLinear-DDPNM-3,2.700000000000001,5.880310621778379e-06,0.02976397408998093,0.21175382599587517,0.21175382599587503,0.21175382599587517,-0.008343819468385723,0.00834385731718375,3.784879803322012e-08,0.02381119231279258,5.811323644522304e-17,6.964761096490256e-14,1.3877787807814457e-16,0.2000778176031863,0.8,0.1882954214303387,0.8446567258226776,153,64,6,False,-5.551115123125783e-17
NormalLinear-DDPNM-3,2.800000000000001,7.734498846395011e-06,0.030866337651443098,0.21258820684329255,0.21258820684329238,0.21258820684329255,-0.008343808474173483,0.00834385731718375,4.884301027419151e-08,0.02469308832437749,3.361026734705064e-17,4.028121445971426e-14,1.6653345369377348e-16,0.20009545886783453,0.8,0.18792411169662848,0.844516048568981,154,67,6,False,2.7755575615628914e-17
NormalLinear-DDPNM-3,2.9000000000000012,1.0126087809161849e-05,0.03196869917816174,0.2134225861506091,0.21342258615060894,0.2134225861506091,-0.00834379307316551,0.00834385731718375,6.424401824630363e-08,0.0255749843359624,6.179952383167375e-18,7.406532213705415e-15,1.6653345369377348e-16,0.2001074738775121,0.8,0.18759209270245095,0.8443975569651067,150,68,6,False,0.0
NormalLinear-DDPNM-3,3.0,1.2894032108503438e-05,0.033071058080421434,0.21425696347146825,0.21425696347146805,0.2142569634714682,-0.008343773208591386,0.00834385731718375,8.410859237027528e-08,0.0264568803475473,1.3877787807814457e-17,1.6632173093813123e-14,1.942890293094024e-16,0.20010949948433038,0.8,0.18728028128265822,0.8442984415790644,142,71,6,False,-2.7755575615628914e-17
Affine-DDPNM-9,0.0,0.0,7.333997485867926e-17,0.18922542357774103,0.18922542357774103,0.18922542357774103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0,0,0,True,0.0
Affine-DDPNM-9,0.1,1.0824571706000795e-18,0.0009881976299476283,0.1899733920381624,0.18997339203816246,0.18997339203816244,-0.007479684604214411,0.007479684604214407,2.792055998313807e-20,0.0007905581039581048,-5.789639601072594e-17,7.740486273726618e-14,-5.551115123125783e-17,0.2,0.5216331310608064,0.14862575965026112,1.1664427843353045,1655,1,6,False,0.0
