interface_id,pore_i,pore_j,center_x,center_y,center_z,normal_x,normal_y,normal_z,area,constant_normal_traction,flux_balance_residual,mesh_triangles
55,21,25,0.35000000000000003,0.5,0.3499999999999999,0.0,1.0,0.0,0.05593087654689397,0.6629239332826313,-4.7271214720367993e-17,74
56,21,37,0.5,0.3500000000000001,0.3500000000000001,1.0,0.0,0.0,0.05593087654689398,0.502818753612368,4.0007060164715114e-17,74
57,22,23,0.35000000000000014,0.35000000000000003,0.7999999999999997,0.0,0.0,1.0,0.05593087638277127,0.662332921888837,-1.6772946421529655e-17,74
58,22,26,0.3499999999999999,0.5,0.6500000000000001,0.0,1.0,0.0,0.05593087654689393,0.6621922545172895,-4.3855977877038654e-17,74
59,22,38,0.5,0.35000000000000003,0.65,1.0,0.0,0.0,0.055930876546893916,0.49943038278282476,-5.4155898515650946e-17,74
60,23,27,0.3500000000000002,0.5,0.9221244854737052,0.0,1.0,0.0,0.04296543827344695,0.6619183745249295,3.399010868433499e-17,54
61,23,39,0.5,0.35,0.9221244854737046,1.0,0.0,0.0,0.04296543827344697,0.5007364409806765,-2.0491421059976034e-17,54
62,24,25,0.35000000000000014,0.6500000000000002,0.19999999999999993,0.0,0.0,1.0,0.05593087638277122,0.662684759471178,-2.2573428044327104e-18,74
63,24,28,0.35,0.8000000000000002,0.07787551452629504,0.0,0.9965790046487872,-0.08264555337846424,0.042965438273446954,0.6617007753610427,-9.576130985183492e-18,54
64,24,40,0.5,0.6499999999999999,0.07787551452629496,1.0,0.0,0.0,0.042965438273446954,0.49997196704721203,-8.375461782450522e-18,54
65,25,26,0.34999999999999964,0.6499999999999997,0.5,0.0,0.0,1.0,0.05593087638277125,0.6629913041078357,7.865886761382335e-17,74
66,25,29,0.3500000000000001,0.7999999999999996,0.34999999999999987,0.0,1.0,0.0,0.055930876546893965,0.6628403307508108,-1.248704441171762e-16,74
67,25,41,0.5,0.6500000000000001,0.35,1.0,0.0,0.0,0.05593087654689401,0.5003853476534104,4.960224939121183e-17,74
68,26,27,0.34999999999999976,0.6499999999999998,0.7999999999999997,0.0,0.0,1.0,0.05593087638277124,0.662681480716191,6.296842929888469e-18,74
69,26,30,0.3500000000000001,0.8,0.6500000000000001,0.0,1.0,0.0,0.05593087654689392,0.662945729798413,-4.467145884700773e-17,74
70,26,42,0.5000000000000001,0.6499999999999999,0.6499999999999997,1.0,0.0,0.0,0.05593087654689393,0.49858877340107727,-8.223673478302551e-17,74
71,27,31,0.3500000000000001,0.8,0.9221244854737047,0.0,0.9965790046487872,0.08264555337846408,0.04296543827344696,0.6611808936064199,-1.3609596000890064e-17,54
72,27,43,0.5,0.6499999999999998,0.9221244854737047,1.0,0.0,0.0,0.04296543827344698,0.5001025387620419,-8.375461782450522e-18,54
73,28,29,0.35,0.9221245735812825,0.2,0.0,-0.08264555337846408,0.9965790046487872,0.04296543819138563,0.6612870954377947,2.070910852742039e-17,54
74,28,44,0.5,0.9150971269858924,0.08490301598753237,1.0,0.0,0.0,0.03148271913672347,0.5006287103096255,4.025100565352435e-18,39
