method,time,outlet_concentration,mass,budget_mass,raw_mass,mass_rate,transport_rate,dirichlet_source_rate,mass_balance_residual_rate,mass_balance_relative_residual,limiter_mass_change_abs,limiter_mass_residual,min_c,max_c,raw_min_c_before_limiter,raw_max_c_before_limiter,raw_below_zero_before_limiter,raw_above_one_before_limiter
FEM,19.8,0.8991611058489227,917.43803694125,917.4380369412158,917.4380369412501,11.192864705034822,-11.339109174867652,-0.1462444698351978,1.594340978683384e-14,7.030274398525783e-16,0.31092205629613523,0.0,0.04962787432350918,1.0,0.04886346477523463,1.0084749182180333,0,136
FEM,20.0,0.9001779943670485,919.6487769220546,919.64877692202,919.6487769220546,11.053699904023233,-11.198036975077919,-0.14433707105722654,-1.3795648651226955e-13,6.159851356951515e-15,0.30641176101676076,0.0,0.0510733903286904,1.0,0.050316888837120835,1.0083940592225709,0,136
FEM,20.200000000000003,0.9011789174704998,921.8321791037681,921.832179103733,921.832179103768,10.917010908567022,-11.05947874621086,-0.14246783764606435,-4.9593575773831944e-14,2.2421298920086284e-15,0.30197372824625285,-1.1368683772161603e-13,0.05259395183113609,1.0,0.0518453494609583,1.0083145336576906,0,136
FEM,20.400000000000002,0.9021643010458209,923.9887256567636,923.988725656728,923.9887256567636,10.782732764977254,-10.923368507629732,-0.14063574265469458,6.409022618170113e-14,2.933629225130005e-15,0.29760673750820366,0.0,0.054188544429077445,1.0,0.05344782992770687,1.0082363134368437,0,136
FEM,20.6,0.9031345531061177,926.1188862752745,926.1188862752382,926.1188862752742,10.65080309255336,-10.789642890923169,-0.1388397983721371,3.023145969671681e-14,1.400948113034672e-15,0.2933095688584903,-2.2737367544323206e-13,0.05585607750851866,1.0,0.055123237372326855,1.0081593711720347,0,136
FEM,20.8,0.9040895159553509,928.223118672485,928.2231186724485,928.223118672485,10.521161986052903,-10.658241039571053,-0.13707905351909672,-1.748800756984359e-13,8.203983896083208e-15,0.28908961276874956,0.0,0.057595413206412226,1.0,0.05687041017773947,1.008083680156698,0,137
FEM,21.0,0.905027770828349,930.301874353709,930.301874353672,930.3018743537089,10.393778406119054,-10.529130994064833,-0.13535258794767485,5.167220817892115e-14,2.4537736403908172e-15,0.2849713668094881,-1.1368683772161603e-13,0.05940541671318092,1.0,0.05868814652738783,1.008009214165436,0,136
FEM,21.200000000000003,0.9059522283247506,932.3556107126759,932.3556107126382,932.3556107126758,10.268681794834151,-10.402341362104927,-0.13365956727414674,-4.0391301414643976e-14,1.9414524100209012e-15,0.2809059349267494,0.0,0.06128477844723866,1.0,0.060575254276980336,1.007935947078617,0,136
FEM,21.400000000000002,0.9068632378466727,934.3847484399371,934.3847484398989,934.3847484399371,10.145688636305863,-10.277688049424992,-0.13199941312136104,-1.2021460216171675e-13,5.848329000821804e-15,0.27690063669979414,-1.1368683772161603e-13,0.06323216127411872,1.0,0.06253037310415481,1.0078638544302267,0,136
FEM,21.6,0.9077611075587101,936.389699096911,936.3896990968725,936.3896990969112,10.024753284870371,-10.155124444831522,-0.13037115996330664,-1.058276730137031e-13,5.210555202381255e-15,0.27295553898886693,0.0,0.06524618821439805,1.0,0.06455212107348543,1.0077929121838238,0,136
FEM,21.8,0.9086461322942346,938.3708651116917,938.3708651116528,938.370865111692,9.905830073904554,-10.03460399208474,-0.12877391818320766,-4.06515099360405e-14,2.0255662290260855e-15,0.2690704891899709,0.0,0.06732544734256703,1.0,0.0666390819132496,1.0077230968732849,0,136
FEM,22.0,0.9095186005908622,940.328639847883,940.3286398478432,940.3286398478829,9.788873680955703,-9.91608054420271,-0.12720686325084465,-6.438122604479624e-14,3.246304109662729e-15,0.26524818037387465,-1.1368683772161603e-13,0.06946850427539387,1.0,0.06878980968168627,1.0076543855925142,0,137
